region_id	region_name	region_name_in_data	region_ent_type	total	ground_water-_protected_well	ground_water-semi_protected_well	ground_water-unprotected_well	ground_water-tube_well	ground_water-spring_or_fountain	pipe_borne_water-national_water_supply_and_drainage_board	pipe_borne_water-local_authority	pipe_borne_water-community_based_organizations	pipe_borne_water-private_water_supply_project	other-tank_or_river_or_stream	other-rain_water	other-bottled_water	other-filter_water	other-bowser	other-other
LK-4412	Oddusuddan	Oddusudan	dsd	5098	1302	2021	255	946	0	193	6	36	35	2	0	103	198	1	0
LK-4415	Maritimepattu	Maritimepattu	dsd	10478	5441	921	274	2146	2	1314	126	65	10	56	1	51	13	55	3
LK-4418	Welioya	Welioya	dsd	3228	30	1	1	24	0	0	0	56	0	1	2	0	3113	0	0
LK-45	Kilinochchi	Kilinochchi District	district	36734	5342	9999	3107	12119	50	4315	62	191	236	78	11	281	258	678	7
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	3872	644	1835	160	1089	0	78	2	10	4	30	0	6	1	13	0
LK-4506	Kandavalai	Kandavalai	dsd	6929	831	2104	493	2744	31	396	5	47	96	13	3	14	22	130	0
LK-4509	Karachchi	Karachchi	dsd	19564	2317	5743	2349	6739	18	1656	39	116	115	7	5	161	216	76	7
LK-4512	Poonakary	Poonakary	dsd	6369	1550	317	105	1547	1	2185	16	18	21	28	3	100	19	459	0
LK-51	Batticaloa	Batticaloa District	district	170262	48584	6394	2674	40501	372	67211	1725	1372	505	325	31	206	8	318	36
LK-5103	Koralai Pattu North (Vaharai)	Koralai Pattu North Vaharai	dsd	7882	3316	797	406	2567	53	216	373	15	13	26	0	25	0	75	0
LK-5104	Koralai Pattu Central	Koralai Pattu Central	dsd	8590	2047	122	78	5109	8	946	92	26	29	6	2	67	1	56	1
LK-5106	Koralai Pattu  West (Oddamavadi)	Koralai Pattu West Oddamavadi	dsd	7223	1408	58	60	3469	6	2026	26	80	57	0	0	6	6	21	0
LK-5109	Koralai Pattu (Valachchenai)	Koralai Pattu Valachchenai	dsd	8379	2832	244	150	4792	3	216	69	13	12	0	0	23	1	22	2
LK-5110	Koralai Pattu South (Kiran)	Koralai Pattu South Kiran	dsd	8608	2722	413	184	4206	41	230	309	230	159	89	0	3	0	18	4
LK-5112	Eravur Pattu	Eravur Pattu	dsd	25780	7555	991	837	5991	126	9882	150	85	34	90	1	6	0	30	2
LK-5115	Eravur Town	Eravur Town	dsd	7214	462	18	14	324	2	6365	15	6	1	2	0	5	0	0	0
LK-5118	Manmunai North	Manmunai North	dsd	26693	9576	367	105	3639	5	12460	22	456	20	3	0	36	0	2	2
LK-5121	Manmunai West	Manmunai West	dsd	9722	1653	762	189	132	18	6643	18	280	3	10	2	2	0	2	8
LK-5124	Kattankudy	Kattankudy	dsd	13189	348	90	20	2371	7	10295	29	6	12	3	0	6	0	0	2
LK-5127	Manmunai Pattu (Araipattai)	Manmunai Pattu Araipattai	dsd	10433	3207	355	109	3561	4	3099	67	2	3	8	0	17	0	1	0
LK-5130	Manmunai South-West	Manmunai South-West	dsd	7767	2690	582	185	829	78	3066	44	119	123	9	21	5	0	2	14
LK-5133	Porativu Pattu	Poratheevu Pattu	dsd	11467	3667	698	215	302	17	5891	501	7	8	67	4	1	0	89	0
LK-5136	Manmunai South & Eruvil pattu	Manmunai South Eruvil Pattu	dsd	17315	7101	897	122	3209	4	5876	10	47	31	12	1	4	0	0	1
LK-52	Ampara	Ampara District	district	207007	20500	3913	1659	8500	230	160978	444	7730	162	180	23	98	1968	593	29
LK-5203	Dehiattakandiya	Dehiattakandiya	dsd	18627	648	279	42	55	1	10501	56	6614	19	21	5	35	351	0	0
LK-5206	Padiyathalawa	Padiyathalawa	dsd	6269	2898	545	382	502	58	555	8	291	54	85	1	0	884	6	0
LK-5209	Mahaoya	Mahaoya	dsd	6978	745	229	373	57	20	5278	18	65	24	12	0	5	148	4	0
LK-5212	Uhana	Uhana	dsd	17399	819	358	75	29	1	16046	53	2	7	4	2	2	0	0	1
LK-5215	Ampara	Ampara	dsd	13241	248	138	33	5	5	12756	39	2	1	9	0	1	1	1	2
LK-5216	Navithanveli	Navithanveli	dsd	6394	403	112	26	20	2	5816	5	1	2	5	0	0	0	2	0
LK-5218	Samanthurai	Samanthurai	dsd	19719	369	327	13	44	3	18911	25	4	3	8	0	6	1	2	3
LK-5221	Kalmunai Tamil Division	Kalmunai Tamil Division	dsd	8960	970	74	15	508	2	7379	7	0	0	1	0	4	0	0	0
LK-5224	Kalmunai	Kalmunai	dsd	14065	359	23	16	1243	3	12377	39	0	2	1	0	2	0	0	0
LK-5225	Sainthamaruthu	Sainthamarathu	dsd	8920	38	7	1	51	1	8774	42	0	3	0	1	1	0	1	0
LK-5227	Karaitheevu	Karaitheevu	dsd	5347	79	9	1	19	1	5227	3	1	1	4	1	1	0	0	0
LK-5230	Ninthavur	Ninthavur	dsd	8884	641	100	18	427	4	7665	11	1	2	1	0	14	0	0	0
LK-5233	Addalachchenai	Addalachchenai	dsd	13503	983	136	74	704	118	11424	30	3	3	3	1	4	0	2	18
LK-5234	Irakkamam	Irakkamam	dsd	4674	24	17	12	5	1	4594	6	4	4	3	4	0	0	0	0
LK-5236	Akkaraipattu	Akkaraipattu	dsd	12300	151	91	9	16	2	11974	41	3	3	2	1	7	0	0	0
LK-5239	Alayadiwembu	Alayadiwembu	dsd	7104	985	182	279	128	0	5237	5	1	3	7	0	2	0	275	0
LK-5242	Damana	Damana	dsd	11501	1088	286	79	7	2	9990	13	12	6	6	6	5	0	0	1
LK-5245	Thirukkovil	Thirukkovil	dsd	8369	4600	164	87	733	1	2714	4	1	2	0	0	3	0	60	0
LK-5248	Pothuvil	Pothuvil	dsd	11850	4039	766	103	2882	4	3501	37	240	21	8	0	4	2	239	4
LK-5251	Lahugala	Lahugala	dsd	2903	413	70	21	1065	1	259	2	485	2	0	1	2	581	1	0
LK-53	Trincomalee	Trincomalee District	district	121948	14140	3750	631	1649	132	91519	528	672	104	80	26	432	7883	367	35
LK-5303	Padavi Sri Pura	Padavisiripura	dsd	3439	82	34	3	0	0	14	60	6	1	0	0	0	3238	1	0
LK-5306	Kuchchaveli	Kuchchaveli	dsd	11313	4678	1050	223	367	1	3619	164	442	53	11	1	352	175	172	5
LK-5309	Gomarankadawala	Gomarankadawala	dsd	2467	74	44	1	7	0	6	13	0	0	5	17	0	2298	2	0
LK-5312	Morawewa	Morawewa	dsd	2752	395	97	23	131	89	2	2	4	8	1	0	1	1997	2	0
LK-5315	Trincomalee Town and Gravets	Trincomalee Town and Gravets	dsd	27668	1444	202	31	330	3	25317	106	152	7	7	3	31	21	11	3
LK-5318	Thambalagamuwa	Thambalagamuwa	dsd	9505	204	76	17	15	1	9141	23	1	4	5	0	10	5	0	3
LK-5321	Kanthale	Kanthale	dsd	14499	150	227	30	147	3	13598	50	42	10	11	0	17	94	119	1
LK-5324	Kinniya	Kinniya	dsd	22139	2799	756	84	350	7	18050	57	4	8	4	4	9	0	1	6
LK-5327	Muttur	Muttur	dsd	19502	3806	639	146	238	4	14512	42	17	9	5	0	10	0	58	16
LK-5330	Seruvila	Seruvila	dsd	4704	58	209	11	2	1	4328	5	1	2	31	1	1	54	0	0
LK-5333	Verugal (Eachchilampattu)	Verugal Eachchilampattu	dsd	3960	450	416	62	62	23	2932	6	3	2	0	0	1	1	1	1
LK-61	Kurunegala	Kurunegala District	district	511166	239671	51665	11319	13182	4192	37062	4432	23132	3945	817	992	21353	98172	1229	3
LK-6103	Giribawa	Giribawa	dsd	10522	1160	104	56	126	2	30	92	2007	304	6	40	3	6313	279	0
LK-6106	Galgamuwa	Galgamuwa	dsd	18036	2396	79	32	230	0	328	34	1442	152	1	338	38	12901	65	0
LK-6109	Ehetuwewa	Ehetuwewa	dsd	8250	807	494	113	84	2	23	5	594	195	16	173	8	5716	20	0
LK-6112	Ambanpola	Ambanpola	dsd	7875	1096	217	50	69	1	656	19	566	9	3	15	151	5022	1	0
LK-6115	Kotavehera	Kotavehera	dsd	7015	691	712	24	119	0	17	4	463	21	0	87	14	4780	83	0
LK-6118	Rasnayakapura	Rasnayakapura	dsd	7288	805	1266	379	281	0	205	4	680	195	0	56	36	3363	18	0
LK-6121	Nikaweratiya	Nikaweratiya	dsd	12902	1938	460	19	235	0	6192	19	553	26	16	18	325	3093	8	0
LK-6124	Maho	Maho	dsd	19116	6510	830	44	222	0	6446	45	824	168	2	22	141	3826	36	0
LK-6127	Polpithigama	Polpithigama	dsd	25632	10333	1760	179	486	315	3754	181	2608	203	11	124	276	5253	149	0
LK-6130	Ibbagamuwa	Ibbagamuwa	dsd	26951	14554	1907	212	916	239	1894	35	459	108	18	9	2568	3980	52	0
LK-6133	Ganewatta	Ganewatta	dsd	13001	6393	441	33	140	9	4	16	309	114	9	13	649	4817	54	0
LK-6136	Wariyapola	Wariyapola	dsd	19732	5914	3492	87	519	3	2849	110	652	38	5	11	1078	4973	1	0
LK-6139	Kobeigane	Kobeigane	dsd	11781	3594	506	31	294	0	150	5	525	43	1	2	74	6553	3	0
LK-6142	Bingiriya	Bingiriya	dsd	19719	8537	2574	190	1595	0	531	7	944	216	1	13	565	4339	206	1
LK-6145	Panduwasnuwara West	Panduwasnuwara West	dsd	20301	4259	3344	409	506	0	39	41	694	121	5	7	696	10043	137	0
LK-6148	Panduwasnuwara East	Panduwasnuwara East	dsd	9431	3700	2351	549	248	2	22	5	381	55	5	5	618	1487	3	0
LK-6149	Bamunakotuwa	Bamunakotuwa	dsd	11706	7962	380	14	225	0	171	8	675	52	2	6	1097	1111	3	0
LK-6151	Maspotha	Maspotha	dsd	12160	6788	372	24	279	9	278	46	530	28	0	2	949	2853	2	0
LK-6154	Kurunegala	Kurunegala	dsd	24041	12267	1219	157	473	26	2314	2546	479	69	0	3	2882	1601	5	0
LK-6157	Mallawapitiya	Mallawapitiya	dsd	16688	11329	685	126	531	433	318	87	621	176	38	3	1684	644	13	0
LK-6160	Mawathagama	Mawathagama	dsd	19952	12466	751	214	596	687	1907	196	505	230	40	5	1524	819	10	2
LK-6163	Rideegama	Rideegama	dsd	27230	14787	1285	244	826	2210	1818	78	2997	769	611	13	888	701	3	0
LK-6166	Weerambugedara	Weerambugedara	dsd	10844	8266	769	129	197	0	32	5	270	27	0	4	637	497	11	0
LK-6169	Kuliyapitiya East	Kuliyapitiya East	dsd	16540	11347	1603	524	375	4	8	4	391	92	0	8	1187	978	19	0
LK-6172	Kuliyapitiya West	Kuliyapitiya West	dsd	24195	10503	7168	1332	815	0	84	622	426	92	0	1	1478	1660	14	0
LK-6175	Udubaddawa	Udubaddawa	dsd	15885	9856	3141	647	1027	1	128	84	417	86	0	4	358	119	17	0
LK-6178	Pannala	Pannala	dsd	39034	25604	7359	3203	879	4	688	41	886	144	4	7	173	38	4	0
LK-6181	Narammala	Narammala	dsd	17076	9390	3031	539	351	8	2378	70	226	57	2	1	575	442	6	0
LK-6184	Alawwa	Alawwa	dsd	19107	12863	2488	1481	229	185	1000	9	740	57	17	1	32	2	3	0
LK-6187	Polgahawela	Polgahawela	dsd	19156	13556	877	278	309	52	2798	14	268	98	4	1	649	248	4	0
LK-62	Puttalam	Puttalam District	district	234027	42181	6402	1123	40301	99	25995	1500	14097	7300	137	824	17265	59073	17697	33
LK-6203	Kalpitiya	Kalpitiya	dsd	24668	1457	284	352	5739	53	1203	107	2503	1931	23	23	4353	4338	2293	9
LK-6206	Vanathawilluwa	Vanathawilluwa	dsd	5910	59	0	0	35	1	210	66	830	401	43	91	506	3463	205	0
LK-6209	Karuwalagaswewa	Karuwalagaswewa	dsd	8024	395	69	25	75	2	602	343	2592	237	9	255	160	3105	155	0
LK-6212	Nawagattegama	Nawagattegama	dsd	5301	269	14	7	213	0	23	2	651	4	2	70	1	4039	6	0
LK-6215	Puttalam	Puttalam	dsd	24122	795	236	55	859	17	8654	610	129	859	29	75	1351	6831	3603	19
LK-6218	Mundel	Mundel	dsd	19115	718	167	53	1743	1	719	14	570	1540	2	9	635	8420	4523	1
LK-6221	Mahakumbukkadawala	Mahakumbukkadawala	dsd	6644	764	208	10	425	0	2	0	162	695	1	81	14	3470	812	0
LK-6224	Anamaduwa	Anamaduwa	dsd	12975	1782	74	34	599	0	108	4	1078	94	9	174	669	8165	185	0
LK-6227	Pallama	Pallama	dsd	8296	1590	206	27	697	1	16	4	1671	472	1	17	301	2847	446	0
LK-6230	Arachchikattuwa	Arachchikattuwa	dsd	12708	829	56	10	1520	1	241	70	1610	455	1	9	2084	5371	451	0
LK-6233	Chilaw	Chilaw	dsd	18730	1483	196	16	1339	1	4132	75	222	72	2	6	695	5910	4580	1
LK-6236	Madampe	Madampe	dsd	14719	4926	692	43	1972	2	3117	15	260	45	0	4	2693	933	17	0
LK-6239	Mahawewa	Mahawewa	dsd	14718	2930	274	63	4795	4	990	79	367	265	2	3	2602	1939	405	0
LK-6242	Nattandiya	Nattandiya	dsd	19335	7702	516	98	9063	6	670	50	657	47	6	1	419	99	1	0
LK-6245	Wennappuwa	Wennappuwa	dsd	19939	5054	989	69	8879	9	3902	41	83	133	3	3	706	60	5	3
LK-6248	Dankotuwa	Dankotuwa	dsd	18823	11428	2421	261	2348	1	1406	20	712	50	4	3	76	83	10	0
LK-71	Anuradhapura	Anuradhapura District	district	275084	12228	1710	523	1605	5190	47581	818	9988	2083	167	665	6699	185163	662	2
LK-7103	Padaviya	Padaviya	dsd	7211	213	14	5	27	1	158	51	220	95	1	22	1	6376	27	0
LK-7106	Kebithigollewa	Kebithigollewa	dsd	7702	384	15	10	60	2040	394	4	93	4	1	288	4	4341	64	0
LK-7109	Medawachchiya	Medawachchiya	dsd	15346	343	83	11	141	27	240	6	585	7	2	46	40	13815	0	0
LK-7112	Mahawilachchiya	Mahawilachchiya	dsd	7134	121	38	7	70	0	18	0	235	200	1	1	1	6282	160	0
LK-7115	Nuwaragam Palatha Central	Nuwaragam Palatha Central	dsd	20154	507	75	36	115	2	3405	45	57	16	11	12	1442	14427	4	0
LK-7118	Rambewa	Rambewa	dsd	11600	375	43	13	124	0	436	4	90	195	3	93	101	10111	12	0
LK-7121	Kahatagasdigiliya	Kahatagasdigiliya	dsd	12872	530	28	29	157	1	282	7	227	8	4	1	4	11586	8	0
LK-7124	Horowpothana	Horowpothana	dsd	11339	646	148	12	123	255	15	1	413	7	8	6	3	9698	4	0
LK-7127	Galenbindunuwewa	Galenbindunuwewa	dsd	14458	545	61	8	72	76	68	9	1273	18	3	16	2	12305	2	0
LK-7130	Mihinthale	Mihinthale	dsd	11525	118	13	5	26	0	1067	2	10	10	4	4	133	10124	9	0
LK-7133	Nuwaragam Palatha East	Nuwaragam Palatha East	dsd	21502	90	33	12	15	1	6018	73	291	14	3	3	2640	12306	3	0
LK-7136	Nachchaduwa	Nachchaduwa	dsd	8275	175	32	18	15	1	2783	9	97	5	1	0	210	4918	11	0
LK-7139	Nochchiyagama	Nochchiyagama	dsd	16092	471	25	8	42	0	20	171	1392	169	8	30	515	13203	38	0
LK-7142	Rajanganaya	Rajanganaya	dsd	10734	678	29	67	19	2	20	4	625	78	6	17	9	9081	99	0
LK-7145	Thambuttegama	Thambuttegama	dsd	13432	679	77	23	19	0	4316	27	441	206	63	1	682	6886	10	2
LK-7148	Thalawa	Thalawa	dsd	17953	1605	89	62	76	0	509	49	864	366	11	11	544	13749	18	0
LK-7151	Thirappane	Thirappane	dsd	9054	172	51	12	46	5	2224	18	363	215	3	29	59	5790	67	0
LK-7154	Kekirawa	Kekirawa	dsd	18302	1398	195	28	86	470	12973	41	448	16	2	11	159	2459	16	0
LK-7157	Palugaswewa	Palugaswewa	dsd	5239	198	58	13	158	59	1582	9	104	9	0	60	26	2946	17	0
LK-7160	Ipalogama	Ipalogama	dsd	12501	770	362	53	57	0	5288	109	270	42	16	6	17	5486	25	0
LK-7163	Galnewa	Galnewa	dsd	11490	452	97	43	28	177	3196	169	1065	197	7	1	17	6028	13	0
LK-7166	Palagala	Palagala	dsd	11169	1758	144	48	129	2073	2569	10	825	206	9	7	90	3246	55	0
LK-72	Polonnaruwa	Polonnaruwa District	district	127385	14939	1778	602	1462	161	43603	6369	14517	1162	365	80	1086	41004	244	13
LK-7203	Hingurakgoda	Hingurakgoda	dsd	20319	2955	253	116	204	146	10128	219	606	320	10	26	402	4835	99	0
LK-7206	Medirigiriya	Medirigiriya	dsd	20599	1059	79	61	47	1	6286	22	272	133	1	17	24	12540	56	1
LK-7209	Lankapura	Lankapura	dsd	11449	1324	96	23	71	0	1532	34	692	46	2	10	396	7160	63	0
LK-7210	Welikanda	Welikanda	dsd	11051	1508	118	30	186	4	231	719	2020	257	269	9	42	5655	3	0
LK-7212	Dimbulagala	Dimbulagala	dsd	24354	2224	290	174	167	3	3901	5007	6554	96	33	16	43	5838	7	1
LK-7215	Thamankaduwa	Thamankaduwa	dsd	25391	1537	280	52	143	2	20295	267	445	56	20	1	168	2099	15	11
LK-7218	Elahera	Elahera	dsd	14222	4332	662	146	644	5	1230	101	3928	254	30	1	11	2877	1	0
LK-81	Badulla	Badulla District	district	248262	35754	9246	4487	3087	37471	80710	8424	43988	12345	7342	449	115	4530	302	12
LK-8103	Mahiyanganaya	Mahiyanganaya	dsd	25579	7103	1514	384	223	34	9823	339	2751	168	109	227	71	2820	11	2
LK-8106	Rideemaliyadda	Rideemaliyadda	dsd	17356	6141	1796	785	471	339	4598	212	1159	294	61	37	12	1451	0	0
LK-8109	Meegahakivula	Meegahakivula	dsd	6583	1619	226	93	438	1362	98	416	1484	603	238	3	2	0	1	0
LK-8112	Kandaketiya	Kandaketiya	dsd	7824	1674	256	91	205	876	208	778	2738	737	69	0	1	191	0	0
LK-8115	Soranathota	Soranathota	dsd	7195	446	120	69	69	2366	691	801	1782	615	233	3	0	0	0	0
LK-8118	Passara	Passara	dsd	14227	646	149	130	86	4692	778	1264	3385	1236	1823	34	1	0	1	2
LK-8119	Lunugala	Lunugala	dsd	9422	318	379	158	45	1958	148	931	3381	1489	612	0	0	1	0	2
LK-8121	Badulla	Badulla	dsd	22160	1361	202	54	184	2285	15748	426	739	412	733	9	6	0	1	0
LK-8124	Hali-Ela	- Hali-Ela	dsd	27397	3509	1373	608	298	6790	7640	233	5323	1223	306	40	5	2	42	5
LK-8127	Uva Paranagama	Uva Paranagama	dsd	23299	3062	968	780	293	2158	7761	869	6036	878	469	21	1	0	3	0
LK-8130	Welimada	Welimada	dsd	29620	3921	1221	819	324	2463	13337	726	4852	1670	190	48	0	0	49	0
LK-8133	Bandarawela	Bandarawela	dsd	18639	2955	461	136	111	2090	8845	131	2859	388	543	13	3	0	103	1
LK-8136	Ella	Ella	dsd	13704	1193	287	143	134	2736	3300	558	3721	1174	357	8	9	4	80	0
LK-8139	Haputale	Haputale	dsd	13992	1225	202	102	104	3807	7070	27	846	425	176	4	2	0	2	0
LK-8142	Haldummulla	Haldummulla	dsd	11265	581	92	135	102	3515	665	713	2932	1033	1423	2	2	61	9	0
LK-82	Moneragala	Monaragala District	district	151763	32848	4853	1287	3790	3157	59555	1841	26086	1720	2648	43	750	13115	62	8
LK-8203	Bibile	Bibile	dsd	13715	5435	531	137	726	513	2898	511	2553	153	101	0	37	120	0	0
LK-8206	Madulla	Madulla	dsd	10326	4645	467	110	277	145	2029	184	2106	102	32	0	1	228	0	0
LK-8209	Medagama	Medagama	dsd	12470	5791	258	180	473	381	1950	85	3033	140	104	2	15	58	0	0
LK-8212	Siyambalanduwa	Siyambalanduwa	dsd	17865	7830	1262	371	665	18	4740	66	1446	42	42	8	15	1360	0	0
LK-8215	Moneragala	Moneragala	dsd	15981	3207	259	69	447	133	9395	165	1493	125	337	1	164	183	3	0
LK-8218	Badalkumbura	Badalkumbura	dsd	13262	3049	209	115	600	1674	1824	311	3119	827	674	7	112	733	8	0
LK-8221	Wellawaya	Wellawaya	dsd	21590	691	687	105	243	244	14611	94	2355	226	460	15	176	1674	9	0
LK-8224	Buttala	Buttala	dsd	17706	1532	314	138	191	44	10140	133	2108	11	358	4	6	2718	7	2
LK-8227	Katharagama	Katharagama	dsd	5395	138	404	22	76	0	4075	20	71	17	42	0	9	504	11	6
LK-8230	Thanamalvila	Thanamalvila	dsd	9537	312	109	28	19	3	3579	30	226	16	458	6	5	4722	24	0
LK-8233	Sevanagala	Sevanagala	dsd	13916	218	353	12	73	2	4314	242	7576	61	40	0	210	815	0	0
LK-91	Ratnapura	Rathnapura District	district	327645	81576	15256	5403	4393	31390	68401	6446	75318	26515	11637	76	724	448	27	35
LK-9103	Eheliyagoda	Eheliyagoda	dsd	20443	11186	1422	436	227	1683	1525	99	2534	1121	173	2	26	0	0	9
LK-9106	Kuruvita	Kuruvita	dsd	27041	14481	2561	493	276	1171	1345	913	3902	1309	556	2	31	1	0	0
LK-9109	Kiriella	Kiriella	dsd	9658	5035	634	147	98	513	228	19	2146	719	108	2	6	2	0	1
LK-9112	Ratnapura	Ratnapura	dsd	33423	4293	322	161	383	2932	9288	1207	10221	3151	1428	6	31	0	0	0
LK-9115	Imbulpe	Imbulpe	dsd	18690	5699	628	282	167	1574	1627	1188	5004	1768	742	6	3	0	1	1
LK-9118	Balangoda	Balangoda	dsd	21276	3912	728	347	181	1875	8648	151	3706	1092	625	2	8	0	1	0
LK-9121	Opanayake	Opanayake	dsd	8139	2094	489	255	38	711	21	1354	2208	504	457	4	3	1	0	0
LK-9124	Pelmadulla	Pelmadulla	dsd	26300	6599	1263	590	491	3692	4058	86	6251	2252	993	2	17	2	2	2
LK-9127	Elapatha	Elapatha	dsd	10904	4560	907	223	136	1462	154	13	2059	1101	272	1	16	0	0	0
LK-9130	Ayagama	Ayagama	dsd	8897	801	142	157	51	1718	18	371	3020	1898	719	1	0	0	0	1
LK-9133	Kalawana	Kalawana	dsd	15180	2019	377	228	19	963	156	46	6351	3970	1049	2	0	0	0	0
LK-9136	Nivithigala	Nivithigala	dsd	16782	3115	836	467	239	4006	1176	66	3304	2295	1263	9	4	0	0	2
LK-9139	Kahawatta	Kahawatta	dsd	12482	2759	667	158	32	2397	1905	280	1953	1911	416	3	1	0	0	0
LK-9142	Godakawela	Godakawela	dsd	22908	4092	700	371	128	2228	5588	247	7366	1560	578	11	24	7	0	8
LK-9145	Weligepola	Weligepola	dsd	10677	4148	1149	564	221	807	44	16	2814	555	325	8	12	5	6	3
LK-9148	Embilipitiya	Embilipitiya	dsd	45965	3898	1745	134	1441	553	30341	176	6215	193	356	11	460	417	17	8
LK-9151	Kolonna	Kolonna	dsd	14854	2428	603	353	226	3036	2170	204	3302	1049	1400	4	77	2	0	0
LK-91XX	Kalthota	Kalthota	dsd	4026	457	83	37	39	69	109	10	2962	67	177	0	5	11	0	0
LK-92	Kegalle	Kegalle District	district	244037	99985	15492	5364	1690	33702	57229	2253	17589	7569	2780	68	245	15	6	50
LK-9203	Rambukkana	Rambukkana	dsd	24842	12870	1662	572	255	514	7546	119	917	242	54	16	70	4	1	0
LK-9206	Mawanella	Mawanella	dsd	33333	9798	1038	215	234	1528	18440	106	1575	126	196	4	50	6	0	17
LK-9209	Aranayaka	Aranayaka	dsd	20062	6444	929	251	110	2673	6777	40	1804	531	475	5	23	0	0	0
LK-9212	Kegalle	Kegalle	dsd	26825	9560	1771	549	117	2089	11438	226	912	93	41	5	22	1	0	1
LK-9215	Galigamuwa	Galigamuwa	dsd	21224	12732	1951	729	149	1150	2987	40	1028	334	108	6	10	0	0	0
LK-9218	Warakapola	Warakapola	dsd	32379	22855	3145	1169	208	1621	1352	180	942	696	142	11	52	1	3	2
LK-9221	Ruwanwella	Ruwanwella	dsd	18370	8421	1791	564	187	2154	3243	19	1223	648	96	9	11	2	0	2
LK-9224	Bulathkohupitiya	Bulathkohupitiya	dsd	12978	4050	1097	410	40	4815	589	12	1057	684	218	4	1	0	1	0
LK-9227	Yatiyanthota	Yatiyanthota	dsd	17541	3298	624	215	132	6616	1876	62	2786	1516	413	1	1	0	0	1
LK-9230	Dehiovita	Dehiovita	dsd	23403	9073	1339	532	215	4974	2649	44	2763	1186	615	3	2	1	1	6
LK-9233	Deraniyagala	Deraniyagala	dsd	13080	884	145	158	43	5568	332	1405	2582	1513	422	4	3	0	0	21
