region_id	region_name	region_name_in_data	region_ent_type	total	sex-male	sex-female	age-under-15	age-15-to-59	age-60-to-64	age-65-and-over
LK	Sri Lanka	Sri Lanka	country	21781800	10512344	11269456	4506839	13353837	1183310	2737814
LK-11	Colombo	Colombo District	district	2375415	1154799	1220616	392721	1525340	136268	321086
LK-1103	Colombo	Colombo	dsd	292089	145398	146691	60723	185998	15570	29798
LK-1106	Kolonnawa	Kolonnawa	dsd	214070	104663	109407	40660	137846	11591	23973
LK-1109	Kaduwela	Kaduwela	dsd	277918	135711	142207	41008	180490	16553	39867
LK-1112	Homagama	Homagama	dsd	280771	136794	143977	45179	183216	15501	36875
LK-1115	Seethawaka	Seethawaka	dsd	122128	59493	62635	22511	77800	6187	15630
LK-1118	Padukka	Padukka	dsd	73014	35451	37563	12932	46114	4023	9945
LK-1121	Maharagama	Maharagama	dsd	196500	93230	103270	26830	127167	11884	30619
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	96189	45927	50262	12363	60959	6343	16524
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	217118	105978	111140	35133	139614	12800	29571
LK-1130	Dehiwala	Dehiwala	dsd	93815	45175	48640	15332	59369	5381	13733
LK-1131	Ratmalana	Ratmalana	dsd	88063	42938	45125	13927	56068	5245	12823
LK-1133	Moratuwa	Moratuwa	dsd	160199	77580	82619	26239	102661	9313	21986
LK-1136	Kesbewa	Kesbewa	dsd	263541	126461	137080	39884	168038	15877	39742
LK-12	Gampaha	Gampaha District	district	2436142	1175469	1260673	438628	1538234	137057	322223
LK-1203	Negombo	Negombo	dsd	137952	66137	71815	27382	86172	7505	16893
LK-1206	Katana	Katana	dsd	241219	116933	124286	42623	159713	12458	26425
LK-1209	Divulapitiya	Divulapitiya	dsd	156957	75924	81033	29272	97600	8818	21267
LK-1212	Mirigama	Mirigama	dsd	176747	84701	92046	33297	107802	10190	25458
LK-1215	Minuwangoda	Minuwangoda	dsd	198774	95427	103347	36601	124423	11318	26432
LK-1218	Wattala	Wattala	dsd	182505	88408	94097	33073	115956	10472	23004
LK-1221	Ja-Ela	- - Ja-Ela	dsd	204806	98114	106692	35367	128694	11931	28814
LK-1224	Gampaha	Gampaha	dsd	205610	97910	107700	34918	127800	12407	30485
LK-1227	Attanagalla	Attanagalla	dsd	197725	94666	103059	37721	121225	11207	27572
LK-1230	Dompe	Dompe	dsd	169877	82380	87497	31881	105618	9127	23251
LK-1233	Mahara	Mahara	dsd	223060	107736	115324	39000	140185	13202	30673
LK-1236	Kelaniya	Kelaniya	dsd	133755	64965	68790	21014	87631	7642	17468
LK-1239	Biyagama	Biyagama	dsd	207155	102168	104987	36479	135415	10780	24481
LK-13	Kalutara	Kalutara District	district	1305784	631106	674678	254107	806802	70067	174808
LK-1303	Panadura	Panadura	dsd	187475	89759	97716	34154	116032	10965	26324
LK-1306	Bandaragama	Bandaragama	dsd	124133	60177	63956	23107	77951	6838	16237
LK-1309	Horana	Horana	dsd	133685	63947	69738	23871	84421	7194	18199
LK-1310	Ingiriya	Ingiriya	dsd	58361	28621	29740	10787	36762	3069	7743
LK-1312	Bulathsinhala	Bulathsinhala	dsd	65550	31911	33639	12458	40127	3534	9431
LK-1315	Madurawala	Madurawala	dsd	36723	17764	18959	6712	22227	2084	5700
LK-1318	Millaniya	Millaniya	dsd	56166	27180	28986	10526	34619	2951	8070
LK-1321	Kalutara	Kalutara	dsd	166624	79889	86735	31904	103105	9338	22277
LK-1324	Beruwala	Beruwala	dsd	180820	88567	92253	42134	111837	8349	18500
LK-1327	Dodangoda	Dodangoda	dsd	67089	32546	34543	12762	41283	3698	9346
LK-1330	Mathugama	Mathugama	dsd	86065	41648	44417	17485	52608	4441	11531
LK-1333	Agalawatta	Agalawatta	dsd	36589	17536	19053	7064	21776	1928	5821
LK-1336	Palindanuwara	Palindanuwara	dsd	51171	24879	26292	10337	30866	2690	7278
LK-1339	Walallavita	Walallavita	dsd	55333	26682	28651	10806	33188	2988	8351
LK-21	Kandy	Kandy District	district	1461895	696713	765182	308800	867787	84563	200745
LK-2103	Thumpane	Thumpane	dsd	38776	18515	20261	7767	22445	2364	6200
LK-2106	Pujapitiya	Pujapitiya	dsd	60316	28572	31744	13558	34829	3615	8314
LK-2109	Akurana	Akurana	dsd	71010	33539	37471	19649	41319	3490	6552
LK-2112	Pathadumbara	Pathadumbara	dsd	93476	44157	49319	19684	55084	5632	13076
LK-2115	Panvila	Panvila	dsd	25650	12295	13355	6057	14823	1452	3318
LK-2118	Udadumbara	Udadumbara	dsd	23046	11413	11633	5008	13496	1424	3118
LK-2121	Minipe	Minipe	dsd	55342	27066	28276	12644	33325	2933	6440
LK-2124	Medadumbara	Medadumbara	dsd	64539	31415	33124	13861	38446	3794	8438
LK-2127	Kundasale	Kundasale	dsd	144383	68276	76107	28875	87078	8344	20086
LK-2130	Kandy Four Gravets & Gangawata Korale	Kandy Four Gravets Gangawata Korale	dsd	153329	71662	81667	26844	94620	8843	23022
LK-2133	Harispattuwa	Harispattuwa	dsd	94021	44644	49377	18969	55772	5546	13734
LK-2134	Hatharaliyadda	Hatharaliyadda	dsd	31141	15152	15989	6107	18156	1899	4979
LK-2136	Yatinuwara	Yatinuwara	dsd	112642	53808	58834	21370	67382	6804	17086
LK-2139	Udunuwara	Udunuwara	dsd	121018	58322	62696	25307	72689	6874	16148
LK-2142	Doluwa	Doluwa	dsd	52784	25517	27267	11296	31634	3027	6827
LK-2145	Pathahewaheta	Pathahewaheta	dsd	60639	29235	31404	12407	35716	3787	8729
LK-2148	Deltota	Delthota	dsd	31904	14732	17172	8178	17982	1719	4025
LK-2151	Udapalatha	Udapalatha	dsd	103181	48900	54281	23657	60102	5715	13707
LK-2154	Ganga Ihala Korale	Ganga Ihala Korale	dsd	59145	28610	30535	12958	34483	3535	8169
LK-2157	Pasbage Korale	Pasbage Korale	dsd	65553	30883	34670	14604	38406	3766	8777
LK-22	Matale	Matale District	district	526870	255221	271649	115358	313310	30691	67511
LK-2203	Galewela	Galewela	dsd	78639	38162	40477	17865	47294	4384	9096
LK-2206	Dambulla	Dambulla	dsd	81239	40580	40659	17279	50966	4390	8604
LK-2209	Naula	Naula	dsd	30718	15142	15576	6266	18604	1850	3998
LK-2212	Pallepola	Pallepola	dsd	31629	15156	16473	6943	18309	1998	4379
LK-2215	Yatawatta	Yatawatta	dsd	32415	15636	16779	7083	18870	1934	4528
LK-2218	Matale	Matale	dsd	80376	38083	42293	17200	47204	4793	11179
LK-2221	Ambanganga Korale	Ambanganga Korale	dsd	15876	7653	8223	3371	9223	958	2324
LK-2224	Laggala-Pallegama	- - Laggala-Pallegama	dsd	16300	8320	7980	3394	9830	1027	2049
LK-2227	Wilgamuwa	Wilgamuwa	dsd	33715	16747	16968	8239	20485	1676	3315
LK-2230	Rattota	Rattota	dsd	53650	25566	28084	11580	30750	3341	7979
LK-2233	Ukuwela	Ukuwela	dsd	72313	34176	38137	16138	41775	4340	10060
LK-23	Nuwara Eliya	Nuwara Eliya District	district	725280	346471	378809	169698	427913	40472	87197
LK-2303	Kothmale	Kothmale West	dsd	41955	20009	21946	9733	24198	2566	5458
LK-2303	Kothmale	Kothmale East	dsd	61742	29574	32168	14972	35895	3508	7367
LK-2306	Hanguranketha	Hanguranketha	dsd	58931	28087	30844	13036	34341	3581	7973
LK-2309	Walapane	Walapane	dsd	65287	31686	33601	14820	38870	3700	7897
LK-2312	Nuwara Eliya	Nuwara Eliya	dsd	88332	43244	45088	18375	55544	4871	9542
LK-2315	Ambagamuwa	Ambagamuwa	dsd	42538	19982	22556	8780	25081	2539	6138
LK-23XX	Mathurata	Mathurata	dsd	33175	15940	17235	7354	19182	2110	4529
LK-23XX	Nildandahinna	Nildandahinna	dsd	42422	20410	22012	9480	24527	2688	5727
LK-23XX	Thalawakele	Thalawakele	dsd	129531	61832	67699	32084	76551	6638	14258
LK-23XX	Norwood	Norwood	dsd	161367	75707	85660	41064	93724	8271	18308
LK-31	Galle	Galle District	district	1097372	527640	569732	218808	660484	61158	156922
LK-3103	Bentota	Benthota	dsd	49650	24041	25609	9274	30129	2742	7505
LK-3106	Balapitiya	Balapitiya	dsd	68150	32452	35698	13858	40905	3896	9491
LK-3109	Karandeniya	Karandeniya	dsd	63862	30467	33395	12757	39082	3816	8207
LK-3112	Elpitiya	Elpitiya	dsd	66671	32028	34643	13223	39573	3689	10186
LK-3115	Niyagama	Niyagama	dsd	35751	17371	18380	6978	21078	2095	5600
LK-3118	Thawalama	Thawalama	dsd	30989	15109	15880	6231	18318	1952	4488
LK-3121	Neluwa	Neluwa	dsd	27746	13755	13991	5722	16908	1509	3607
LK-3124	Nagoda	Nagoda	dsd	52031	24957	27074	10231	30365	3078	8357
LK-3127	Baddegama	Baddegama	dsd	50956	24515	26441	9905	30130	2820	8101
LK-3133	Ambalangoda	Ambalangoda	dsd	59617	28447	31170	11758	36030	3361	8468
LK-3134	Gonapeenuwala	Gonapeenuwala	dsd	23271	11032	12239	4549	14002	1270	3450
LK-3136	Hikkaduwa	Hikkaduwa	dsd	26216	12570	13646	4707	15589	1589	4331
LK-3139	Galle Four Gravets	Galle Four Gravets	dsd	108321	52217	56104	23761	65071	5644	13845
LK-3142	Bope-Poddala	- - Bope-Poddala	dsd	57890	27448	30442	10764	35619	3105	8402
LK-3145	Akmeemana	Akmeemana	dsd	86136	41187	44949	17307	52769	4605	11455
LK-3148	Yakkalamulla	Yakkalamulla	dsd	46687	22656	24031	9242	28192	2493	6760
LK-3151	Imaduwa	Imaduwa	dsd	48204	23107	25097	9537	29041	2551	7075
LK-3154	Habaraduwa	Habaraduwa	dsd	63302	30710	32592	12044	38687	3509	9062
LK-31XX	Wanduramba	Wanduramba	dsd	27702	13375	14327	5473	16495	1590	4144
LK-31XX	Madampagama	Madampagama	dsd	33408	16011	17397	7149	20000	1883	4376
LK-31XX	Rathgama	Rathgama	dsd	41456	20052	21404	8596	25101	2275	5484
LK-32	Matara	Matara District	district	837889	401980	435909	173277	493546	46934	124132
LK-3203	Pitabeddara	Pitabeddara	dsd	48867	23765	25102	10132	28689	2825	7221
LK-3206	Kotapola	Kotapola	dsd	61002	29750	31252	12685	36256	3328	8733
LK-3209	Pasgoda	Pasgoda	dsd	61171	29936	31235	12753	36263	3361	8794
LK-3212	Mulatiyana	Mulatiyana	dsd	51832	25086	26746	10753	30391	2912	7776
LK-3215	Athuraliya	Athuraliya	dsd	32811	15603	17208	6566	19263	1785	5197
LK-3218	Akuressa	Akuressa	dsd	53638	25798	27840	11033	31569	2947	8089
LK-3221	Welipitiya	Welipitiya	dsd	55960	26995	28965	12407	32822	3069	7662
LK-3224	Malimbada	Malimbada	dsd	36128	17025	19103	7178	20765	2092	6093
LK-3227	Kamburupitiya	Kamburupitiya	dsd	42816	20232	22584	8302	25338	2428	6748
LK-3230	Hakmana	Hakmana	dsd	32985	15709	17276	7324	18594	1878	5189
LK-3233	Kirinda Puhulwella	Kirinda Puhulwella	dsd	20627	9893	10734	4241	11612	1261	3513
LK-3236	Thihagoda	Thihagoda	dsd	34306	16250	18056	6746	19511	2088	5961
LK-3239	Weligama	Weligam	dsd	76136	36967	39169	16776	45332	4092	9936
LK-3242	Matara Four Gravets	Matara Four Gravets	dsd	123868	58394	65474	23240	75563	6852	18213
LK-3245	Devinuwara	Devinuwara	dsd	49274	23405	25869	10672	28768	2850	6984
LK-3248	Dickwella	Dickwella	dsd	56468	27172	29296	12469	32810	3166	8023
LK-33	Hambantota	Hambantota District	district	671418	329210	342208	150953	399400	35642	85423
LK-3303	Sooriyawewa	Sooriyawewa	dsd	52709	26096	26613	13439	31470	2388	5412
LK-3306	Lunugamvehera	Lunugamwehera	dsd	36923	18366	18557	9007	22105	1702	4109
LK-3309	Thissamaharama	Thissamaharama	dsd	74175	36909	37266	16286	44693	4071	9125
LK-3312	Hambantota	Hambantota	dsd	67207	33392	33815	15816	40866	3169	7356
LK-3315	Ambalantota	Ambalantota	dsd	80506	40042	40464	16879	48862	4480	10285
LK-3318	Angunakolapelessa	Angunakolapelessa	dsd	53409	26073	27336	12080	31682	2826	6821
LK-3321	Weeraketiya	Weeraketiya	dsd	48241	23407	24834	10978	28362	2526	6375
LK-3324	Katuwana	Katuwana	dsd	52169	25414	26755	12254	30762	2718	6435
LK-3325	Walasmulla	Walasmulla	dsd	47869	23330	24539	10686	28064	2624	6495
LK-3327	Okewela	Okewela	dsd	19992	9428	10564	4535	11289	1130	3038
LK-3330	Beliatta	Beliatta	dsd	58675	28018	30657	12002	33694	3675	9304
LK-3333	Tangalle	Tangalle	dsd	79543	38735	40808	16991	47551	4333	10668
LK-41	Jaffna	Jaffna District	district	594751	281553	313198	116651	361288	30732	86080
LK-4103	Island North (Kayts)	Island North Kayts	dsd	9931	4804	5127	2210	5978	489	1254
LK-4104	Karainagar	Karainagar	dsd	9131	4278	4853	1918	5365	493	1355
LK-4106	Valikamam West (Chankanai)	Valikamam West Chankanai	dsd	45160	21577	23583	9161	27532	2394	6073
LK-4109	Valikamam South-West (Sandilipay)	Valikamam South-West Sandilipay	dsd	52121	24726	27395	10742	31607	2563	7209
LK-4112	Valikamam North (Tellipallai)	Valikamam North	dsd	44914	21548	23366	9418	27198	2311	5987
LK-4115	Valikamam South (Uduvil)	Valikamam South Uduvil	dsd	50540	23792	26748	9940	30447	2669	7484
LK-4118	Valikamam East (Kopay)	Valikamam East Kopay	dsd	75979	36084	39895	14372	46998	3840	10769
LK-4121	Vadamaradchi South-West (Karaveddy)	Vadamaradchy South-West Karaveddy	dsd	41102	19240	21862	7359	24799	2370	6574
LK-4124	Vadamaradchi East	Vadamaradchy East	dsd	13537	6472	7065	3006	8516	530	1485
LK-4127	Vadamaradchi North (Point Pedro)	Vadamaradchy North Point Perdro	dsd	43369	20308	23061	8288	26299	2306	6476
LK-4130	Thenmaradchi (Chavakachcheri)	Thenmaradchy Chavakachcheri	dsd	67782	32108	35674	13127	40125	3782	10748
LK-4133	Nallur	Nallur	dsd	72884	33568	39316	13112	44090	3782	11900
LK-4136	Jaffna	Jaffna	dsd	48543	23413	25130	9629	30254	2267	6393
LK-4139	Island South (Velanai)	Island South Velanai	dsd	16600	8065	8535	3684	10157	778	1981
LK-4142	Delft	Delft	dsd	3158	1570	1588	685	1923	158	392
LK-42	Mannar	Mannar District	district	123756	61047	62709	30225	77779	5377	10375
LK-4203	Mannar Town	Mannar Town	dsd	57772	28448	29324	13676	36853	2484	4759
LK-4206	Manthai West	Manthai West	dsd	18674	9130	9544	4375	11887	765	1647
LK-4209	Madhu	Madhu	dsd	9493	4687	4806	2437	5807	420	829
LK-4212	Nanattan	Nanattan	dsd	19674	9674	10000	4261	12249	1058	2106
LK-4215	Musali	Musali	dsd	18143	9108	9035	5476	10983	650	1034
LK-43	Vavuniya	Vavuniya District	district	172312	82831	89481	38718	109312	8091	16191
LK-4303	Vavuniya North	Vavuniya North	dsd	14709	7311	7398	3394	9255	617	1443
LK-4306	Vavuniya South	Vavuniya South	dsd	14842	7157	7685	3385	9280	809	1368
LK-4309	Vavuniya	Vavuniya	dsd	116991	55905	61086	25055	74925	5645	11366
LK-4312	Vengalacheddikulam	Vengalacheddikulam	dsd	25770	12458	13312	6884	15852	1020	2014
LK-44	Mullaitivu	Mullaitivu District	district	122619	59718	62901	27892	78298	4879	11550
LK-4403	Thunukkai	Thunukkai	dsd	10410	5038	5372	2407	6562	389	1052
LK-4406	Manthai East	Manthai East	dsd	7650	3799	3851	1774	4760	313	803
LK-4409	Puthukkudiyiruppu	Puthukudiyiruppu	dsd	39532	19023	20509	8673	25898	1403	3558
LK-4412	Oddusuddan	Oddusudan	dsd	18149	8987	9162	4067	11717	689	1676
LK-4415	Maritimepattu	Maritimepattu	dsd	36813	17842	18971	8360	23259	1607	3587
LK-4418	Welioya	Welioya	dsd	10065	5029	5036	2611	6102	478	874
LK-45	Kilinochchi	Kilinochchi District	district	136710	66124	70586	30282	88451	5157	12820
LK-4503	Pachchilaipalli	Pachchilaipalli	dsd	13045	6330	6715	2837	8211	535	1462
LK-4506	Kandavalai	Kandavalai	dsd	24921	12025	12896	5399	16231	970	2321
LK-4509	Karachchi	Karachchi	dsd	74631	35842	38789	16346	48612	2735	6938
LK-4512	Poonakary	Poonakary	dsd	24113	11927	12186	5700	15397	917	2099
LK-51	Batticaloa	Batticaloa District	district	595918	278885	317033	146399	374671	26073	48775
